City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,dakhla,23.6848,-15.958,21.23,85,0,7.56,EH,1717952967
223,edd,13.9297,41.6925,33.52,56,23,1.03,ER,1717952967
224,nizhniy kuranakh,58.8353,125.4869,9.52,94,68,0.49,RU,1717952967
225,mangrul pir,20.3167,77.35,33.22,43,25,4.98,IN,1717952968
226,koungou,-12.7336,45.2042,26.84,61,0,5.66,YT,1717952968
227,stanley,54.868,-1.6985,14.17,69,40,2.06,GB,1717952961
228,san patricio,28.017,-97.5169,34.74,43,3,5.67,US,1717952895
229,lamu,-2.2717,40.902,26.13,76,45,8.03,KE,1717952968
230,nova vicosa,-17.8919,-39.3719,25.04,66,100,2.95,BR,1717952968
231,st. john's,47.5649,-52.7093,16.66,67,100,4.12,CA,1717952752
232,kirando,-7.4167,30.6,23.75,51,32,2.39,TZ,1717952951
233,villa gesell,-37.2639,-56.973,21.7,81,62,9.21,AR,1717952861
234,afaahiti,-17.75,-149.2833,24.93,84,92,6.42,PF,1717952833
235,halifax,44.6453,-63.5724,23.03,68,70,2.68,CA,1717952892
236,ta`u,-14.2336,-169.5144,25.94,67,99,7.71,AS,1717952766
237,newman,37.3138,-121.0208,23.13,49,37,0.45,US,1717952712
238,coroata,-4.13,-44.1242,32.23,52,55,2.21,BR,1717952969
239,holualoa,19.6228,-155.9522,23.26,85,40,5.14,US,1717952917
240,trincomalee,8.5711,81.2335,28.07,77,100,10.1,LK,1717952863
241,kodiak,57.79,-152.4072,7.73,93,100,10.29,US,1717952775
242,arica,-18.475,-70.3042,20.75,60,75,5.14,CL,1717952850
243,el-tor,28.2364,33.6254,32.5,27,0,9.88,EG,1717952969
244,morondava,-20.2833,44.2833,25.5,57,28,6.49,MG,1717952969
245,longquan,24.6719,102.1613,19.61,93,61,1.44,CN,1717952969
246,carnarvon,-24.8667,113.6333,20.74,87,100,1.77,AU,1717952789
247,cooper's town,26.8667,-77.5167,28.82,71,1,4.37,BS,1717952970
248,rengo,-34.4167,-70.8667,16.25,59,100,1.56,CL,1717952962
249,ketchikan,55.3422,-131.6461,13.26,35,100,3.09,US,1717952970
250,ulladulla,-35.35,150.4667,9.45,80,36,2.51,AU,1717952970
251,nykvarn,59.8,18.3,12.68,66,93,5.51,SE,1717952970
252,khandyga,62.6667,135.6,8.49,75,77,1.47,RU,1717952970
253,port douglas,-16.4833,145.4667,18.19,69,6,2.06,AU,1717952970
254,constantia,44.1833,28.65,28.38,68,77,7.21,RO,1717952645
255,greenland,43.0362,-70.8328,14.9,80,100,0.0,US,1717952971
256,howrah,22.5892,88.3103,31.0,89,40,5.66,IN,1717952971
257,jati,24.3539,68.2671,30.61,64,0,7.0,PK,1717952971
258,pontianak,-0.0333,109.3333,25.99,100,40,0.0,ID,1717952942
259,nieuw amsterdam,5.8833,-55.0833,28.25,74,42,4.25,SR,1717952971
260,vila franca do campo,37.7167,-25.4333,20.23,99,78,2.55,PT,1717952971
261,andratx,39.5755,2.4202,27.56,70,4,4.36,ES,1717952971
262,badger,64.8,-147.5333,20.6,49,100,2.57,US,1717952883
263,alofi,-19.0595,-169.9187,21.94,73,75,5.14,NU,1717952847
264,gorontalo,0.5412,123.0595,23.91,97,96,0.7,ID,1717952972
265,ponta delgada,37.7333,-25.6667,20.4,73,40,6.17,PT,1717952903
266,vadso,70.0744,29.7487,7.49,87,75,5.66,NO,1717952912
267,farafangana,-22.8167,47.8333,19.04,79,100,4.6,MG,1717952972
268,bikenibeu village,1.3673,173.1241,27.98,83,20,3.09,KI,1717952972
269,pitimbu,-7.4706,-34.8086,29.33,71,26,6.91,BR,1717952972
270,fort bragg,35.139,-79.006,32.85,40,0,4.63,US,1717952913
271,nuuk,64.1835,-51.7216,5.34,100,75,6.17,GL,1717952973
272,nelson bay,-32.7167,152.15,12.27,81,77,0.89,AU,1717952973
273,ramadi,33.4226,43.3058,39.1,10,34,4.35,IQ,1717952973
274,duekoue,6.7472,-7.3496,30.7,56,62,2.25,CI,1717952973
275,sechura,-5.5569,-80.8222,23.67,57,82,4.13,PE,1717952757
